name,team,position,jersey_number,height,weight,age,birth_date,college,draft_year,draft_round,draft_pick,years_pro,games_played,games_started,twitter_handle,instagram_handle,twitter_followers,instagram_followers,wikipedia_url,career_highlights,awards,data_source,scraped_at
Budda Baker,cardinals,S,3.0,"5'10""",195,29.0,,Washington,,,,,,,,,,,,,,nfl.com,2025-07-20 03:16:07.966774
Kelvin Beachum,cardinals,OT,68.0,"6'3""",308,36.0,,SMU,,,,,,,,,,,,,,nfl.com,2025-07-20 03:16:07.967915
Trey Benson,cardinals,RB,33.0,"6'0""",216,23.0,,Florida State,,,,,,,,,,,,,,nfl.com,2025-07-20 03:16:07.968090
Isaiah Adams,cardinals,G,74.0,"6'4""",316,25.0,,Illinois,,,,,,,,,,,,,,nfl.com,2025-07-20 03:16:07.964147
Andre Baccellia,cardinals,WR,82.0,"5'10""",175,28.0,,Washington,,,,,,,,,,,,,,nfl.com,2025-07-20 03:16:07.966262
Joey Blount,cardinals,SAF,32.0,"6'1""",201,26.0,,Virginia,,,,,,,,,,,,,,nfl.com,2025-07-20 03:16:07.968612
Ekow Boye-Doe,cardinals,CB,35.0,"6'0""",177,25.0,,Kansas State,,,,,,,,,,,,,,nfl.com,2025-07-20 03:16:07.970150
Aaron Brewer,cardinals,LS,46.0,"6'5""",232,27.0,,San Diego State,,,,,,,,,,,,,,nfl.com,2025-07-20 03:16:07.970942
Jacoby Brissett,cardinals,QB,7.0,"6'4""",235,32.0,,N.C. State,,,,,,,,,,,,,,nfl.com,2025-07-20 03:16:07.971027
Evan Brown,cardinals,C,62.0,"6'3""",320,28.0,,SMU,,,,,,,,,,,,,,nfl.com,2025-07-20 03:16:07.972131
Sean Murphy-Bunting,cardinals,CB,23.0,"6'0""",195,28.0,,Central Michigan,,,,,,,,,,,,,,nfl.com,2025-07-20 03:16:07.972952
Denzel Burke,cardinals,CB,29.0,"5'11""",186,22.0,,Ohio State,,,,,,,,,,,,,,nfl.com,2025-07-20 03:16:07.973571
Jordan Burch,cardinals,LB,52.0,"6'4""",279,23.0,,Oregon,,,,,,,,,,,,,,nfl.com,2025-07-20 03:16:07.973272
Baron Browning,cardinals,LB,5.0,"6'3""",240,26.0,,Ohio State,,,,,,,,,,,,,,nfl.com,2025-07-20 03:16:07.972428
Calais Campbell,cardinals,DE,93.0,"6'8""",307,38.0,,Miami,,,,,,,,,,,,,,nfl.com,2025-07-20 03:16:07.976300
Oscar Cardenas,cardinals,TE,45.0,"6'4""",265,,,Texas-San Antonio,,,,,,,,,,,,,,nfl.com,2025-07-20 03:16:07.976996
KeiTrel Clark,cardinals,CB,13.0,"5'10""",181,,,Louisville,,,,,,,,,,,,,,nfl.com,2025-07-20 03:16:07.978345
Elliott Brown,cardinals,LB,41.0,"6'5""",240,27.0,,Virginia,,,,,,,,,,,,,,nfl.com,2025-07-20 03:16:07.971134
